,0
344,"SMARCB1,MLLT1"
345,"NCOA4,NR2F1"
346,"BCLAF1,ZC3H11A"
347,"HDAC1,NFYB"
348,"RCOR1,JUN"
349,"ETS1,FOXM1"
350,"EGR1,SIN3A"
351,"ZNF592,KDM1A"
352,"USF1,MAX"
353,"IKZF1,FOXA1"
354,"SMARCA4,CEBPB"
355,"SMARCA5,TBP"
356,"SIN3A,KDM1A"
357,"MYC,YY1"
358,"EGR1,BCOR"
359,"PKNOX1,SMARCA4"
360,"HDGF,THAP1"
361,"SMARCA5,SETDB1"
362,"PHF21A,ATF7"
363,"DNMT1,NR2F2"
364,"PHF21A,MAX"
365,"KLF16,HDAC6"
366,"MTA3,KDM1A"
367,"ZBTB7A,RB1"
368,"CEBPB,SREBF1"
369,"BCOR,ZNF280A"
370,"SMARCA5,DNMT1"
371,"TCF7,HDAC3"
372,"EP400,E2F1"
373,"POLR2A,FUS"
374,"PHF21A,SETDB1"
375,"ZFP91,PHF21A"
376,"ZKSCAN1,SIN3B"
377,"YY1,FOXK2"
378,"CTCF,BCOR"
379,"KAT8,MLLT1"
380,"NR0B1,EGR1"
381,"HDAC6,NCOR1"
382,"NFYA,CREM"
383,"IKZF1,TCF7L2"
384,"RB1,THAP1"
385,"E4F1,SMARCA4"
386,"SMARCA4,PRDM10"
387,"POLR2G,SETDB1"
388,"HDAC3,SMARCE1"
389,"JUN,UBTF"
390,"NONO,HDAC1"
391,"TCF7L2,E2F1"
392,"PRDM10,THRA"
393,"MAX,MNT"
394,"TRIM28,MYBL2"
395,"EP300,NEUROD1"
396,"JUN,SMARCC2"
397,"SIN3A,SMARCA4"
398,"GATA2,JUN"
399,"DEAF1,NFATC3"
400,"EHMT2,MTA1"
401,"BCLAF1,TARDBP"
402,"TBP,ZBED1"
403,"HDGF,ZNF263"
404,"RB1,YY1"
405,"SRSF1,NR3C1"
406,"MLLT1,BRD4"
407,"GATA2,FOXK2"
408,"HDAC6,FOXM1"
409,"EP300,EGR1"
410,"SMARCE1,HDAC3"
411,"IKZF1,HLTF"
412,"PRDM10,BCOR"
413,"SIN3A,TRIM28"
414,"SRSF1,TBL1XR1"
415,"ARID1B,HDAC1"
416,"KDM1A,SMARCA5"
417,"POLR2G,MLLT1"
418,"SMARCA4,L3MBTL2"
419,"SP1,TBP"
420,"NR3C1,FOXK2"
421,"SP1,NR3C1"
422,"MIER1,HDAC6"
423,"HNRNPK,TARDBP"
424,"ATF2,AGO1"
425,"SUZ12,E2F8"
426,"BHLHE40,FOXA1"
427,"HDAC2,NR3C1"
428,"ASH1L,CTCF"
429,"MIER1,NFYB"
430,"POLR2A,TRIP13"
431,"MYBL2,HDAC3"
432,"SMARCA4,GATA1"
433,"RLF,HDAC2"
434,"SMARCE1,IKZF1"
435,"BRD4,LARP7"
436,"SMARCB1,ZBTB7A"
437,"CBX5,HDAC1"
438,"SMARCA5,MAX"
439,"KLF16,HDAC1"
440,"MYBL2,REST"
441,"ZSCAN29,HDAC3"
442,"STAT5A,PCBP1"
443,"SIN3B,EP400"
444,"SMAD5,SKIL"
445,"SMAD5,PKNOX1"
446,"HCFC1,JUN"
447,"NR2F2,NCOA2"
448,"RUNX1,NCOR1"
449,"HDAC3,ATF7"
450,"SMARCC2,SETDB1"
451,"ARID2,SIN3A"
452,"XRCC5,EHMT2"
453,"ATF3,MTA3"
454,"NFYA,BRD4"
455,"MNT,HCFC1"
456,"ZEB2,MTA1"
457,"SETDB1,NFYB"
